用户数,平均订单金额,平均投诉次数,流失率
1642,15.93544458,465,0.25883069
1467,15.70552147,414,0.06475801
429,15.75524476,125,0.0
1584,15.45138889,406,0.09848485
508,15.37007874,194,0.53543307
